Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,392,Wed Oct 29 00:14:11 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,16,156,16054,Low,false,
Processed,393,Wed Oct 29 00:14:12 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,21,243,100,,false,
Out of Scope,394,Wed Oct 29 00:14:14 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/79fece07-b264-4487-8e3b-ca23c2e0c27a,403,Forbidden,0,130,40,,false,
Out of Scope,395,Wed Oct 29 00:14:14 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/79fece07-b264-4487-8e3b-ca23c2e0c27a,403,Forbidden,0,130,40,,false,
Out of Scope,396,Wed Oct 29 00:14:14 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/79fece07-b264-4487-8e3b-ca23c2e0c27a,403,Forbidden,0,130,40,,false,
Out of Scope,397,Wed Oct 29 00:14:14 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/79fece07-b264-4487-8e3b-ca23c2e0c27a,403,Forbidden,0,130,40,,false,
Processed,398,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,33,304,734,Medium,false,"Script, Comment"
Processed,399,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,5,306,152059,Low,false,
Processed,400,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,22,303,202,Low,false,
Processed,401,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,22,335,612,Low,false,
Processed,402,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,24,313,230777,Low,false,
Processed,403,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,36,314,1418005,High,false,
Processed,404,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665,Low,false,
Processed,405,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,14,154,169,Low,false,JSON
Processed,406,Wed Oct 29 00:14:14 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,16,156,16054,Low,false,
Processed,407,Wed Oct 29 00:14:15 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docsQZVGCmyi,404,,10,243,108,,false,
Processed,408,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,20,304,734,Medium,false,
Processed,409,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,20,156,16054,Low,false,
Out of Scope,410,Wed Oct 29 00:14:18 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,411,Wed Oct 29 00:14:18 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,412,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,8,243,100,,false,
Out of Scope,413,Wed Oct 29 00:14:18 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,414,Wed Oct 29 00:14:18 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,415,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,13,303,202,Low,false,
Processed,416,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,18,306,152059,Low,false,
Processed,417,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,28,335,612,Low,false,
Processed,418,Wed Oct 29 00:14:18 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,30,313,230777,Low,false,Comment
